UF;Municipio;DepAdm;EnsinoFund1_4;EnsinoFund5_8
Alagoas;SAO JOSE DA LAJE;Municipal;3.143;1.345
Alagoas;SAO JOSE DA LAJE;Privada;978;41
Alagoas;SAO JOSE DA TAPERA;Total;5.924;4.285
Alagoas;SAO JOSE DA TAPERA;Estadual;183;660
Alagoas;SAO JOSE DA TAPERA;Municipal;5.492;3.394
Alagoas;SAO JOSE DA TAPERA;Privada;249;231
Alagoas;SAO LUIS DO QUITUNDE;Total;5.609;3.011
Alagoas;SAO LUIS DO QUITUNDE;Estadual;152;353
Alagoas;SAO LUIS DO QUITUNDE;Municipal;4.915;2.519
Alagoas;SAO LUIS DO QUITUNDE;Privada;542;139
Alagoas;SAO MIGUEL DOS CAMPOS;Total;6.994;6.375
Alagoas;SAO MIGUEL DOS CAMPOS;Estadual;0;173
Alagoas;SAO MIGUEL DOS CAMPOS;Municipal;6.301;5.750
Alagoas;SAO MIGUEL DOS CAMPOS;Privada;693;452
Alagoas;SAO MIGUEL DOS MILAGRES;Total;1.364;827
Alagoas;SAO MIGUEL DOS MILAGRES;Estadual;148;56
Alagoas;SAO MIGUEL DOS MILAGRES;Municipal;1.216;771
Alagoas;SAO SEBASTIAO;Total;5.289;3.801
Alagoas;SAO SEBASTIAO;Estadual;67;185
Alagoas;SAO SEBASTIAO;Municipal;5.222;3.616
Alagoas;SATUBA;Total;1.659;1.218
Alagoas;SATUBA;Estadual;121;236
Alagoas;SATUBA;Federal;0;0
Alagoas;SATUBA;Municipal;1.450;982
Alagoas;SATUBA;Privada;88;0
Alagoas;SENADOR RUI PALMEIRA;Total;2.469;1.441
Alagoas;SENADOR RUI PALMEIRA;Estadual;77;34
Alagoas;SENADOR RUI PALMEIRA;Municipal;2.392;1.407
Alagoas;TANQUE D'ARCA;Total;987;692
Alagoas;TANQUE D'ARCA;Estadual;400;362
Alagoas;TANQUE D'ARCA;Municipal;587;330
Alagoas;TAQUARANA;Total;2.582;2.536
Alagoas;TAQUARANA;Estadual;17;292
Alagoas;TAQUARANA;Municipal;2.565;2.244
Alagoas;TEOTONIO VILELA;Total;6.548;5.664
Alagoas;TEOTONIO VILELA;Estadual;0;159
Alagoas;TEOTONIO VILELA;Municipal;6.277;5.482
Alagoas;TEOTONIO VILELA;Privada;271;23
Alagoas;TRAIPU;Total;6.090;2.855
Alagoas;TRAIPU;Estadual;454;481
Alagoas;TRAIPU;Municipal;5.636;2.374
Alagoas;UNIAO DOS PALMARES;Total;9.218;6.242
Alagoas;UNIAO DOS PALMARES;Estadual;919;2.491
Alagoas;UNIAO DOS PALMARES;Municipal;7.527;3.372
Alagoas;UNIAO DOS PALMARES;Privada;772;379
Alagoas;VICOSA;Total;3.738;2.883
Alagoas;VICOSA;Estadual;573;908
Alagoas;VICOSA;Municipal;2.996;1.862
Alagoas;VICOSA;Privada;169;113
Amapa;Total;Total;82.577;55.173
Amapa;Total;Estadual;47.718;46.169
Amapa;Total;Municipal;28.363;5.171
Amapa;Total;Privada;6.496;3.833
Amapa;AMAPA;Total;1.470;826
Amapa;AMAPA;Estadual;827;826
Amapa;AMAPA;Municipal;643;0
Amapa;CALCOENE;Total;1.374;837
Amapa;CALCOENE;Estadual;801;837
Amapa;CALCOENE;Municipal;573;0
Amapa;CUTIAS;Total;766;470
Amapa;CUTIAS;Estadual;545;470
Amapa;CUTIAS;Municipal;221;0
Amapa;FERREIRA GOMES;Total;763;393
Amapa;FERREIRA GOMES;Estadual;189;333
Amapa;FERREIRA GOMES;Municipal;574;60
Amapa;ITAUBAL;Total;836;438
Amapa;ITAUBAL;Estadual;575;438
Amapa;ITAUBAL;Municipal;261;0
Amapa;LARANJAL DO JARI;Total;6.185;3.294
Amapa;LARANJAL DO JARI;Estadual;3.092;2.386
Amapa;LARANJAL DO JARI;Municipal;2.944;908
Amapa;LARANJAL DO JARI;Privada;149;0
Amapa;MACAPA;Total;43.785;31.896
Amapa;MACAPA;Estadual;26.256;27.032
Amapa;MACAPA;Municipal;13.692;2.354
Amapa;MACAPA;Privada;3.837;2.510
Amapa;MAZAGAO;Total;3.009;1.252
Amapa;MAZAGAO;Estadual;1.717;1.049
Amapa;MAZAGAO;Municipal;1.292;0
Amapa;MAZAGAO;Privada;0;203
Amapa;OIAPOQUE;Total;2.990;1.561
Amapa;OIAPOQUE;Estadual;2.107;1.561
Amapa;OIAPOQUE;Municipal;883;0
Amapa;PEDRA BRANCA DO AMAPARI;Total;932;526
Amapa;PEDRA BRANCA DO AMAPARI;Estadual;679;422
Amapa;PEDRA BRANCA DO AMAPARI;Municipal;253;0
Amapa;PEDRA BRANCA DO AMAPARI;Privada;0;104
Amapa;PORTO GRANDE;Total;2.295;1.413
Amapa;PORTO GRANDE;Estadual;849;793
Amapa;PORTO GRANDE;Municipal;1.029;458
Amapa;PORTO GRANDE;Privada;417;162
Amapa;PRACUUBA;Total;536;290
Amapa;PRACUUBA;Estadual;369;290
Amapa;PRACUUBA;Municipal;167;0
Amapa;SANTANA;Total;12.392;9.101
Amapa;SANTANA;Estadual;7.120;7.278
Amapa;SANTANA;Municipal;3.179;1.037
Amapa;SANTANA;Privada;2.093;786
Amapa;SERRA DO NAVIO;Total;561;394
Amapa;SERRA DO NAVIO;Estadual;342;394
Amapa;SERRA DO NAVIO;Municipal;219;0
Amapa;TARTARUGALZINHO;Total;2.006;1.189
Amapa;TARTARUGALZINHO;Estadual;1.371;1.121
Amapa;TARTARUGALZINHO;Municipal;635;0
Amapa;TARTARUGALZINHO;Privada;0;68
Amapa;VITORIA DO JARI;Total;2.677;1.293
Amapa;VITORIA DO JARI;Estadual;879;939
Amapa;VITORIA DO JARI;Municipal;1.798;354
Amapa;VITORIA DO JARI;Privada;0;0
Amazonas;Total;Total;334.416;300.322
Amazonas;Total;Estadual;96.774;192.361
Amazonas;Total;Federal;0;604
Amazonas;Total;Municipal;214.494;91.639
Amazonas;Total;Privada;23.148;15.718
Amazonas;ALVARAES;Total;5.321;1.554
Amazonas;ALVARAES;Estadual;905;1.075
Amazonas;ALVARAES;Municipal;4.416;479
Amazonas;AMATURA;Total;1.631;579
Amazonas;AMATURA;Estadual;405;579
Amazonas;AMATURA;Municipal;1.226;0
Amazonas;ANAMA;Total;1.519;661
Amazonas;ANAMA;Estadual;362;526
Amazonas;ANAMA;Municipal;1.157;135
Amazonas;ANORI;Total;1.955;1.196
Amazonas;ANORI;Estadual;611;924
Amazonas;ANORI;Municipal;1.344;272
Amazonas;APUI;Total;1.833;1.446
Amazonas;APUI;Estadual;715;576
Amazonas;APUI;Municipal;1.118;870
